  No;Problem;                                                                            ;;
   1;lwb/k_branch_n.0001.intohylo;                                            0.00; Sat  ;
   2;lwb/k_branch_n.0002.intohylo;                                            0.00; Sat  ;
   3;lwb/k_branch_n.0003.intohylo;                                            0.00; Sat  ;
   4;lwb/k_branch_n.0004.intohylo;                                            0.00; Sat  ;
   5;lwb/k_branch_n.0005.intohylo;                                            0.01; Sat  ;
   6;lwb/k_branch_n.0006.intohylo;                                            0.02; Sat  ;
   7;lwb/k_branch_n.0007.intohylo;                                            0.06; Sat  ;
   8;lwb/k_branch_n.0008.intohylo;                                            0.15; Sat  ;
   9;lwb/k_branch_n.0009.intohylo;                                            0.40; Sat  ;
  10;lwb/k_branch_n.0010.intohylo;                                            1.13; Sat  ;
  11;lwb/k_branch_n.0011.intohylo;                                            3.13; Sat  ;
  12;lwb/k_branch_n.0012.intohylo;                                            8.98; Sat  ;
  13;lwb/k_branch_n.0013.intohylo;                                           27.29; Sat  ;
  14;lwb/k_branch_n.0014.intohylo;                                           93.18; Sat  ;
  15;lwb/k_branch_n.0015.intohylo;                                          372.77; Sat  ;
  16;lwb/k_branch_n.0016.intohylo;                                         TIMEOUT;      ;
  17;lwb/k_branch_n.0017.intohylo;                                         TIMEOUT;      ;
  18;lwb/k_branch_n.0018.intohylo;                                         TIMEOUT;      ;
  19;lwb/k_branch_n.0019.intohylo;                                         TIMEOUT;      ;
  20;lwb/k_branch_n.0020.intohylo;                                         TIMEOUT;      ;
  21;lwb/k_branch_n.0021.intohylo;                                         TIMEOUT;      ;
  22;lwb/k_branch_n.0022.intohylo;                                         TIMEOUT;      ;
  23;lwb/k_branch_n.0023.intohylo;                                         TIMEOUT;      ;
  24;lwb/k_branch_n.0024.intohylo;                                         TIMEOUT;      ;
  25;lwb/k_branch_n.0025.intohylo;                                         TIMEOUT;      ;
  26;lwb/k_branch_n.0026.intohylo;                                         TIMEOUT;      ;
  27;lwb/k_branch_n.0027.intohylo;                                         TIMEOUT;      ;
  28;lwb/k_branch_n.0028.intohylo;                                         TIMEOUT;      ;
  29;lwb/k_branch_n.0029.intohylo;                                         TIMEOUT;      ;
  30;lwb/k_branch_n.0030.intohylo;                                         TIMEOUT;      ;
  31;lwb/k_branch_n.0032.intohylo;                                         TIMEOUT;      ;
  32;lwb/k_branch_n.0034.intohylo;                                         TIMEOUT;      ;
  33;lwb/k_branch_n.0036.intohylo;                                         TIMEOUT;      ;
  34;lwb/k_branch_n.0038.intohylo;                                         TIMEOUT;      ;
  35;lwb/k_branch_n.0040.intohylo;                                         TIMEOUT;      ;
  36;lwb/k_branch_n.0042.intohylo;                                         TIMEOUT;      ;
  37;lwb/k_branch_n.0044.intohylo;                                         TIMEOUT;      ;
  38;lwb/k_branch_n.0046.intohylo;                                         TIMEOUT;      ;
  39;lwb/k_branch_n.0048.intohylo;                                         TIMEOUT;      ;
  40;lwb/k_branch_n.0050.intohylo;                                         TIMEOUT;      ;
  41;lwb/k_branch_n.0052.intohylo;                                         TIMEOUT;      ;
  42;lwb/k_branch_n.0054.intohylo;                                         TIMEOUT;      ;
  43;lwb/k_branch_n.0056.intohylo;                                         TIMEOUT;      ;
  44;lwb/k_branch_n.0058.intohylo;                                         TIMEOUT;      ;
  45;lwb/k_branch_n.0060.intohylo;                                         TIMEOUT;      ;
  46;lwb/k_branch_n.0062.intohylo;                                         TIMEOUT;      ;
  47;lwb/k_branch_n.0064.intohylo;                                         TIMEOUT;      ;
  48;lwb/k_branch_n.0066.intohylo;                                         TIMEOUT;      ;
  49;lwb/k_branch_n.0068.intohylo;                                         TIMEOUT;      ;
  50;lwb/k_branch_n.0070.intohylo;                                         TIMEOUT;      ;
  51;lwb/k_branch_n.0072.intohylo;                                         TIMEOUT;      ;
  52;lwb/k_branch_n.0074.intohylo;                                         TIMEOUT;      ;
  53;lwb/k_branch_n.0076.intohylo;                                         TIMEOUT;      ;
  54;lwb/k_branch_n.0078.intohylo;                                         TIMEOUT;      ;
  55;lwb/k_branch_n.0080.intohylo;                                         TIMEOUT;      ;
  56;lwb/k_branch_p.0001.intohylo;                                            0.00; Unsat;
  57;lwb/k_branch_p.0002.intohylo;                                            0.00; Unsat;
  58;lwb/k_branch_p.0003.intohylo;                                            0.00; Unsat;
  59;lwb/k_branch_p.0004.intohylo;                                            0.00; Unsat;
  60;lwb/k_branch_p.0005.intohylo;                                            0.00; Unsat;
  61;lwb/k_branch_p.0006.intohylo;                                            0.00; Unsat;
  62;lwb/k_branch_p.0007.intohylo;                                            0.01; Unsat;
  63;lwb/k_branch_p.0008.intohylo;                                            0.02; Unsat;
  64;lwb/k_branch_p.0009.intohylo;                                            0.04; Unsat;
  65;lwb/k_branch_p.0010.intohylo;                                            0.08; Unsat;
  66;lwb/k_branch_p.0011.intohylo;                                            0.13; Unsat;
  67;lwb/k_branch_p.0012.intohylo;                                            0.28; Unsat;
  68;lwb/k_branch_p.0013.intohylo;                                            0.61; Unsat;
  69;lwb/k_branch_p.0014.intohylo;                                            1.19; Unsat;
  70;lwb/k_branch_p.0015.intohylo;                                            2.03; Unsat;
  71;lwb/k_branch_p.0016.intohylo;                                            4.80; Unsat;
  72;lwb/k_branch_p.0017.intohylo;                                          491.76; Unsat;
  73;lwb/k_branch_p.0018.intohylo;                                           22.22; Unsat;
  74;lwb/k_branch_p.0019.intohylo;                                           43.50; Unsat;
  75;lwb/k_branch_p.0020.intohylo;                                          135.14; Unsat;
  76;lwb/k_branch_p.0021.intohylo;                                          371.27; Unsat;
  77;lwb/k_branch_p.0022.intohylo;                                          836.77; Unsat;
  78;lwb/k_branch_p.0023.intohylo;                                         TIMEOUT;      ;
  79;lwb/k_branch_p.0024.intohylo;                                         TIMEOUT;      ;
  80;lwb/k_branch_p.0025.intohylo;                                         TIMEOUT;      ;
  81;lwb/k_branch_p.0026.intohylo;                                         TIMEOUT;      ;
  82;lwb/k_branch_p.0027.intohylo;                                         TIMEOUT;      ;
  83;lwb/k_branch_p.0028.intohylo;                                         TIMEOUT;      ;
  84;lwb/k_branch_p.0029.intohylo;                                         TIMEOUT;      ;
  85;lwb/k_branch_p.0030.intohylo;                                         TIMEOUT;      ;
  86;lwb/k_branch_p.0032.intohylo;                                         TIMEOUT;      ;
  87;lwb/k_branch_p.0034.intohylo;                                         TIMEOUT;      ;
  88;lwb/k_branch_p.0036.intohylo;                                         TIMEOUT;      ;
  89;lwb/k_branch_p.0038.intohylo;                                         TIMEOUT;      ;
  90;lwb/k_branch_p.0040.intohylo;                                         TIMEOUT;      ;
  91;lwb/k_branch_p.0042.intohylo;                                         TIMEOUT;      ;
  92;lwb/k_branch_p.0044.intohylo;                                         TIMEOUT;      ;
  93;lwb/k_branch_p.0046.intohylo;                                         TIMEOUT;      ;
  94;lwb/k_branch_p.0048.intohylo;                                         TIMEOUT;      ;
  95;lwb/k_branch_p.0050.intohylo;                                         TIMEOUT;      ;
  96;lwb/k_branch_p.0052.intohylo;                                         TIMEOUT;      ;
  97;lwb/k_branch_p.0054.intohylo;                                         TIMEOUT;      ;
  98;lwb/k_branch_p.0056.intohylo;                                         TIMEOUT;      ;
  99;lwb/k_branch_p.0058.intohylo;                                         TIMEOUT;      ;
 100;lwb/k_branch_p.0060.intohylo;                                         TIMEOUT;      ;
 101;lwb/k_branch_p.0062.intohylo;                                         TIMEOUT;      ;
 102;lwb/k_branch_p.0064.intohylo;                                         TIMEOUT;      ;
 103;lwb/k_branch_p.0066.intohylo;                                         TIMEOUT;      ;
 104;lwb/k_branch_p.0068.intohylo;                                         TIMEOUT;      ;
 105;lwb/k_branch_p.0070.intohylo;                                         TIMEOUT;      ;
 106;lwb/k_branch_p.0072.intohylo;                                         TIMEOUT;      ;
 107;lwb/k_branch_p.0074.intohylo;                                         TIMEOUT;      ;
 108;lwb/k_branch_p.0076.intohylo;                                         TIMEOUT;      ;
 109;lwb/k_branch_p.0078.intohylo;                                         TIMEOUT;      ;
 110;lwb/k_branch_p.0080.intohylo;                                         TIMEOUT;      ;
 111;lwb/k_d4_n.0004.intohylo;                                                0.00; Sat  ;
 112;lwb/k_d4_n.0008.intohylo;                                                0.00; Sat  ;
 113;lwb/k_d4_n.0012.intohylo;                                                0.01; Sat  ;
 114;lwb/k_d4_n.0016.intohylo;                                                0.02; Sat  ;
 115;lwb/k_d4_n.0020.intohylo;                                                0.02; Sat  ;
 116;lwb/k_d4_n.0040.intohylo;                                                0.13; Sat  ;
 117;lwb/k_d4_n.0060.intohylo;                                                0.20; Sat  ;
 118;lwb/k_d4_n.0080.intohylo;                                                0.41; Sat  ;
 119;lwb/k_d4_n.0100.intohylo;                                                1.33; Sat  ;
 120;lwb/k_d4_n.0120.intohylo;                                                1.21; Sat  ;
 121;lwb/k_d4_n.0140.intohylo;                                                3.07; Sat  ;
 122;lwb/k_d4_n.0160.intohylo;                                                4.37; Sat  ;
 123;lwb/k_d4_n.0180.intohylo;                                                6.77; Sat  ;
 124;lwb/k_d4_n.0200.intohylo;                                                4.96; Sat  ;
 125;lwb/k_d4_n.0240.intohylo;                                               10.01; Sat  ;
 126;lwb/k_d4_n.0280.intohylo;                                               12.16; Sat  ;
 127;lwb/k_d4_n.0320.intohylo;                                               53.68; Sat  ;
 128;lwb/k_d4_n.0360.intohylo;                                               28.84; Sat  ;
 129;lwb/k_d4_n.0400.intohylo;                                             TIMEOUT;      ;
 130;lwb/k_d4_n.0440.intohylo;                                               49.10; Sat  ;
 131;lwb/k_d4_n.0480.intohylo;                                              179.80; Sat  ;
 132;lwb/k_d4_n.0520.intohylo;                                              274.59; Sat  ;
 133;lwb/k_d4_n.0560.intohylo;                                               64.59; Sat  ;
 134;lwb/k_d4_n.0600.intohylo;                                               66.77; Sat  ;
 135;lwb/k_d4_n.0640.intohylo;                                               79.16; Sat  ;
 136;lwb/k_d4_n.0680.intohylo;                                              306.70; Sat  ;
 137;lwb/k_d4_n.0720.intohylo;                                              724.21; Sat  ;
 138;lwb/k_d4_n.0760.intohylo;                                             TIMEOUT;      ;
 139;lwb/k_d4_n.0800.intohylo;                                              367.60; Sat  ;
 140;lwb/k_d4_n.0840.intohylo;                                             TIMEOUT;      ;
 141;lwb/k_d4_n.0880.intohylo;                                              365.24; Sat  ;
 142;lwb/k_d4_n.0920.intohylo;                                             TIMEOUT;      ;
 143;lwb/k_d4_n.0960.intohylo;                                              451.80; Sat  ;
 144;lwb/k_d4_n.1000.intohylo;                                             TIMEOUT;      ;
 145;lwb/k_d4_n.1040.intohylo;                                             TIMEOUT;      ;
 146;lwb/k_d4_n.1080.intohylo;                                              862.60; Sat  ;
 147;lwb/k_d4_n.1120.intohylo;                                              447.56; Sat  ;
 148;lwb/k_d4_n.1160.intohylo;                                             TIMEOUT;      ;
 149;lwb/k_d4_n.1200.intohylo;                                             TIMEOUT;      ;
 150;lwb/k_d4_n.1240.intohylo;                                             TIMEOUT;      ;
