  No;Problem;                                                                            ;;
  43;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s2.tptp;   19.42; Sat  ;
  44;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s3.tptp; TIMEOUT;      ;
  45;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s4.tptp;  251.03; Sat  ;
  46;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s5.tptp;   59.11; Sat  ;
  47;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s6.tptp;   99.93; Unsat;
  48;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s7.tptp;   22.91; Sat  ;
  49;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s8.tptp;    5.15; Sat  ;
  50;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s9.tptp; TIMEOUT;      ;
  51;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s0.tptp; TIMEOUT;      ;
  52;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s1.tptp;  471.21; Sat  ;
  53;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s2.tptp;  475.69; Sat  ;
  54;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s3.tptp; TIMEOUT;      ;
  55;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s4.tptp;  257.42; Sat  ;
  56;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s5.tptp; TIMEOUT;      ;
  57;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s6.tptp; TIMEOUT;      ;
  58;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s7.tptp;   92.42; Unsat;
  59;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s8.tptp;   78.27; Sat  ;
  60;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s9.tptp;  937.14; Sat  ;
  61;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s0.tptp;   39.65; Sat  ;
  62;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s1.tptp; TIMEOUT;      ;
  63;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s2.tptp; TIMEOUT;      ;
  64;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s3.tptp; TIMEOUT;      ;
  65;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s4.tptp; TIMEOUT;      ;
  66;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s5.tptp;  117.25; Sat  ;
  67;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s6.tptp;  831.97; Unsat;
  68;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s7.tptp; TIMEOUT;      ;
  69;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s8.tptp; TIMEOUT;      ;
  70;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s9.tptp; TIMEOUT;      ;
  71;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s0.tptp;   19.67; Unsat;
