Prover,System,Problem,Execution Time,Result
lwb,vampire,k_d4_n.0004.,0.07, Sat  
lwb,vampire,k_d4_n.0008.,0.12, Sat  
lwb,vampire,k_d4_n.0012.,0.2, Sat  
lwb,vampire,k_d4_n.0016.,0.32, Sat  
lwb,vampire,k_d4_n.0020.,0.5, Sat  
lwb,vampire,k_d4_n.0040.,2.32, Sat  
lwb,vampire,k_d4_n.0060.,6.64, Sat  
lwb,vampire,k_d4_n.0080.,15.51, Sat  
lwb,vampire,k_d4_n.0100.,33.42, Sat  
lwb,vampire,k_d4_n.0120.,62.29, Sat  
lwb,vampire,k_d4_n.0140.,110.54, Sat  
lwb,vampire,k_d4_n.0160.,175.32, Sat  
lwb,vampire,k_d4_n.0180.,296.89, Sat  
lwb,vampire,k_d4_n.0200.,466.39, Sat  
lwb,vampire,k_d4_n.0240.,9999999.0,NULL
lwb,vampire,k_d4_n.0280.,9999999.0,NULL
lwb,vampire,k_d4_n.0320.,9999999.0,NULL
lwb,vampire,k_d4_n.0360.,9999999.0,NULL
lwb,vampire,k_d4_n.0400.,9999999.0,NULL
lwb,vampire,k_d4_n.0440.,9999999.0,NULL
lwb,vampire,k_d4_n.0480.,9999999.0,NULL
lwb,vampire,k_d4_n.0520.,9999999.0,NULL
lwb,vampire,k_d4_n.0560.,9999999.0,NULL
lwb,vampire,k_d4_n.0600.,9999999.0,NULL
lwb,vampire,k_d4_n.0640.,9999999.0,NULL
lwb,vampire,k_d4_n.0680.,9999999.0,NULL
lwb,vampire,k_d4_n.0720.,9999999.0,NULL
lwb,vampire,k_d4_n.0760.,9999999.0,NULL
lwb,vampire,k_d4_n.0800.,9999999.0,NULL
lwb,vampire,k_d4_n.0840.,9999999.0,NULL
lwb,vampire,k_d4_n.0880.,9999999.0,NULL
lwb,vampire,k_d4_n.0920.,9999999.0,NULL
lwb,vampire,k_d4_n.0960.,9999999.0,NULL
lwb,vampire,k_d4_n.1000.,9999999.0,NULL
lwb,vampire,k_d4_n.1040.,9999999.0,NULL
lwb,vampire,k_d4_n.1080.,9999999.0,NULL
lwb,vampire,k_d4_n.1120.,9999999.0,NULL
lwb,vampire,k_d4_n.1160.,9999999.0,NULL
lwb,vampire,k_d4_n.1200.,9999999.0,NULL
lwb,vampire,k_d4_n.1240.,9999999.0,NULL
lwb,vampire,k_d4_n.1280.,9999999.0,NULL
lwb,vampire,k_d4_n.1320.,9999999.0,NULL
lwb,vampire,k_d4_n.1360.,9999999.0,NULL
lwb,vampire,k_d4_n.1400.,9999999.0,NULL
lwb,vampire,k_d4_n.1440.,9999999.0,NULL
lwb,vampire,k_d4_n.1480.,9999999.0,NULL
