  No;Problem;                                                                            ;;
  46;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s5;     TIMEOUT;      ;
  47;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s6;     TIMEOUT;      ;
  48;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s7;     TIMEOUT;      ;
  49;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s8;     TIMEOUT;      ;
  50;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c200s9;     TIMEOUT;      ;
  51;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s0;     TIMEOUT;      ;
  52;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s1;     TIMEOUT;      ;
  53;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s2;     TIMEOUT;      ;
  54;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s3;     TIMEOUT;      ;
  55;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s4;     TIMEOUT;      ;
  56;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s5;     TIMEOUT;      ;
  57;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s6;     TIMEOUT;      ;
  58;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s7;     TIMEOUT;      ;
  59;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s8;     TIMEOUT;      ;
  60;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c220s9;     TIMEOUT;      ;
  61;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s0;     TIMEOUT;      ;
  62;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s1;     TIMEOUT;      ;
  63;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s2;     TIMEOUT;      ;
  64;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s3;     TIMEOUT;      ;
  65;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s4;     TIMEOUT;      ;
  66;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s5;     TIMEOUT;      ;
  67;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s6;     TIMEOUT;      ;
  68;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s7;     TIMEOUT;      ;
  69;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s8;     TIMEOUT;      ;
  70;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c240s9;     TIMEOUT;      ;
  71;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s0;     TIMEOUT;      ;
  72;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s1;     TIMEOUT;      ;
  73;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s2;     TIMEOUT;      ;
  74;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s3;     TIMEOUT;      ;
  75;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s4;     TIMEOUT;      ;
  76;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s5;     TIMEOUT;      ;
  77;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s6;     TIMEOUT;      ;
  78;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s7;     TIMEOUT;      ;
  79;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s8;     TIMEOUT;      ;
  80;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c260s9;     TIMEOUT;      ;
  81;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s0;     TIMEOUT;      ;
  82;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s1;     TIMEOUT;      ;
  83;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s2;     TIMEOUT;      ;
  84;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s3;     TIMEOUT;      ;
  85;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s4;     TIMEOUT;      ;
  86;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s5;     TIMEOUT;      ;
  87;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s6;     TIMEOUT;      ;
  88;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s7;     TIMEOUT;      ;
  89;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s8;     TIMEOUT;      ;
  90;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c280s9;     TIMEOUT;      ;
  91;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s0;     TIMEOUT;      ;
  92;3CNF2/v04m1d2C[[0,1,4]]p[[[],[0,3,0],[0,3,3,0]]]nm0.5np0.5c300s1;     TIMEOUT;      ;
