  No;Problem;                                                                            ;;
  30;qbf/C20-V04-D6/p-qbf-cnf-K4-C20-V04-D6.2.intohylo;                       0.04; Sat  ;
  31;qbf/C20-V04-D6/p-qbf-cnf-K4-C20-V04-D6.3.intohylo;                       0.04; Sat  ;
  32;qbf/C20-V04-D6/p-qbf-cnf-K4-C20-V04-D6.4.intohylo;                       0.04; Sat  ;
  33;qbf/C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.1.intohylo;                       0.08; Sat  ;
  34;qbf/C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.2.intohylo;                       0.07; Sat  ;
  35;qbf/C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.3.intohylo;                       0.08; Sat  ;
  36;qbf/C20-V08-D4/p-qbf-cnf-K4-C20-V08-D4.4.intohylo;                       0.08; Sat  ;
  37;qbf/C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.1.intohylo;                       0.15; Sat  ;
  38;qbf/C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.2.intohylo;                       0.17; Sat  ;
  39;qbf/C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.3.intohylo;                       0.18; Sat  ;
  40;qbf/C20-V08-D6/p-qbf-cnf-K4-C20-V08-D6.4.intohylo;                       0.16; Sat  ;
  41;qbf/C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.1.intohylo;                       0.40; Sat  ;
  42;qbf/C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.2.intohylo;                       0.41; Sat  ;
  43;qbf/C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.3.intohylo;                       0.39; Sat  ;
  44;qbf/C20-V16-D4/p-qbf-cnf-K4-C20-V16-D4.4.intohylo;                       0.39; Sat  ;
  45;qbf/C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.1.intohylo;                       0.02; Sat  ;
  46;qbf/C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.2.intohylo;                       0.02; Sat  ;
  47;qbf/C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.3.intohylo;                       0.02; Sat  ;
  48;qbf/C30-V04-D4/p-qbf-cnf-K4-C30-V04-D4.4.intohylo;                       0.02; Sat  ;
  49;qbf/C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.1.intohylo;                       0.09; Sat  ;
  50;qbf/C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.2.intohylo;                       0.09; Sat  ;
  51;qbf/C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.3.intohylo;                       0.09; Sat  ;
  52;qbf/C30-V08-D4/p-qbf-cnf-K4-C30-V08-D4.4.intohylo;                       0.09; Sat  ;
  53;qbf/C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.1.intohylo;                       0.57; Sat  ;
  54;qbf/C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.2.intohylo;                       0.49; Sat  ;
  55;qbf/C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.3.intohylo;                       0.48; Sat  ;
  56;qbf/C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.4.intohylo;                       0.49; Sat  ;
  57;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.1.intohylo;                   0.42; Sat  ;
  58;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.2.intohylo;                   0.32; Sat  ;
  59;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.3.intohylo;                   0.77; Sat  ;
  60;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.4.intohylo;                   0.61; Sat  ;
  61;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.5.intohylo;                   0.81; Sat  ;
  62;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.6.intohylo;                   1.31; Sat  ;
  63;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.7.intohylo;                   0.27; Sat  ;
  64;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.8.intohylo;                   0.56; Sat  ;
  65;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.1.intohylo;                  33.64; Sat  ;
  66;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.2.intohylo;                  22.01; Sat  ;
  67;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.3.intohylo;                   4.72; Sat  ;
  68;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.4.intohylo;                  41.23; Sat  ;
  69;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.5.intohylo;                  39.66; Sat  ;
  70;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.6.intohylo;                  52.13; Sat  ;
  71;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.7.intohylo;                   1.37; Sat  ;
  72;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.8.intohylo;                   6.90; Sat  ;
  73;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.1.intohylo;                TIMEOUT;      ;
  74;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.2.intohylo;                  17.37; Sat  ;
  75;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.3.intohylo;                  48.42; Sat  ;
  76;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.4.intohylo;                TIMEOUT;      ;
  77;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.5.intohylo;                  59.93; Sat  ;
  78;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.6.intohylo;                TIMEOUT;      ;
  79;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.7.intohylo;                 531.70; Sat  ;
  80;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.8.intohylo;                 400.75; Sat  ;
  81;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.1.intohylo;                TIMEOUT;      ;
  82;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.2.intohylo;                TIMEOUT;      ;
  83;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.3.intohylo;                TIMEOUT;      ;
  84;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.4.intohylo;                 227.53; Sat  ;
