Prover,System,Problem,Execution Time,Result
lwb,inkresat,k_branch_n.0064.,9999999.0,NULL
lwb,inkresat,k_branch_n.0066.,9999999.0,NULL
lwb,inkresat,k_branch_n.0068.,9999999.0,NULL
lwb,inkresat,k_branch_n.0070.,9999999.0,NULL
lwb,inkresat,k_branch_n.0072.,9999999.0,NULL
lwb,inkresat,k_branch_n.0074.,9999999.0,NULL
lwb,inkresat,k_branch_n.0076.,9999999.0,NULL
lwb,inkresat,k_branch_n.0078.,9999999.0,NULL
lwb,inkresat,k_branch_n.0080.,9999999.0,NULL
lwb,inkresat,k_branch_p.0001.,0.0, Unsat
lwb,inkresat,k_branch_p.0002.,0.0, Unsat
lwb,inkresat,k_branch_p.0003.,0.0, Unsat
lwb,inkresat,k_branch_p.0004.,0.0, Unsat
lwb,inkresat,k_branch_p.0005.,0.0, Unsat
lwb,inkresat,k_branch_p.0006.,0.0, Unsat
lwb,inkresat,k_branch_p.0007.,0.01, Unsat
lwb,inkresat,k_branch_p.0008.,0.02, Unsat
lwb,inkresat,k_branch_p.0009.,0.04, Unsat
lwb,inkresat,k_branch_p.0010.,0.08, Unsat
lwb,inkresat,k_branch_p.0011.,0.13, Unsat
lwb,inkresat,k_branch_p.0012.,0.28, Unsat
lwb,inkresat,k_branch_p.0013.,0.61, Unsat
lwb,inkresat,k_branch_p.0014.,1.19, Unsat
lwb,inkresat,k_branch_p.0015.,2.03, Unsat
lwb,inkresat,k_branch_p.0016.,4.8, Unsat
lwb,inkresat,k_branch_p.0017.,491.76, Unsat
lwb,inkresat,k_branch_p.0018.,22.22, Unsat
lwb,inkresat,k_branch_p.0019.,43.5, Unsat
lwb,inkresat,k_branch_p.0020.,135.14, Unsat
lwb,inkresat,k_branch_p.0021.,371.27, Unsat
lwb,inkresat,k_branch_p.0022.,836.77, Unsat
lwb,inkresat,k_branch_p.0023.,9999999.0,NULL
lwb,inkresat,k_branch_p.0024.,9999999.0,NULL
lwb,inkresat,k_branch_p.0025.,9999999.0,NULL
lwb,inkresat,k_branch_p.0026.,9999999.0,NULL
lwb,inkresat,k_branch_p.0027.,9999999.0,NULL
lwb,inkresat,k_branch_p.0028.,9999999.0,NULL
lwb,inkresat,k_branch_p.0029.,9999999.0,NULL
lwb,inkresat,k_branch_p.0030.,9999999.0,NULL
lwb,inkresat,k_branch_p.0032.,9999999.0,NULL
lwb,inkresat,k_branch_p.0034.,9999999.0,NULL
lwb,inkresat,k_branch_p.0036.,9999999.0,NULL
lwb,inkresat,k_branch_p.0038.,9999999.0,NULL
lwb,inkresat,k_branch_p.0040.,9999999.0,NULL
lwb,inkresat,k_branch_p.0042.,9999999.0,NULL
lwb,inkresat,k_branch_p.0044.,9999999.0,NULL
lwb,inkresat,k_branch_p.0046.,9999999.0,NULL
lwb,inkresat,k_branch_p.0048.,9999999.0,NULL
lwb,inkresat,k_branch_p.0050.,9999999.0,NULL
lwb,inkresat,k_branch_p.0052.,9999999.0,NULL
lwb,inkresat,k_branch_p.0054.,9999999.0,NULL
lwb,inkresat,k_branch_p.0056.,9999999.0,NULL
lwb,inkresat,k_branch_p.0058.,9999999.0,NULL
lwb,inkresat,k_branch_p.0060.,9999999.0,NULL
lwb,inkresat,k_branch_p.0062.,9999999.0,NULL
lwb,inkresat,k_branch_p.0064.,9999999.0,NULL
lwb,inkresat,k_branch_p.0066.,9999999.0,NULL
lwb,inkresat,k_branch_p.0068.,9999999.0,NULL
lwb,inkresat,k_branch_p.0070.,9999999.0,NULL
lwb,inkresat,k_branch_p.0072.,9999999.0,NULL
lwb,inkresat,k_branch_p.0074.,9999999.0,NULL
lwb,inkresat,k_branch_p.0076.,9999999.0,NULL
lwb,inkresat,k_branch_p.0078.,9999999.0,NULL
lwb,inkresat,k_branch_p.0080.,9999999.0,NULL
lwb,inkresat,k_d4_n.0004.,0.0, Sat  
lwb,inkresat,k_d4_n.0008.,0.0, Sat  
lwb,inkresat,k_d4_n.0012.,0.01, Sat  
lwb,inkresat,k_d4_n.0016.,0.02, Sat  
lwb,inkresat,k_d4_n.0020.,0.02, Sat  
lwb,inkresat,k_d4_n.0040.,0.13, Sat  
lwb,inkresat,k_d4_n.0060.,0.2, Sat  
lwb,inkresat,k_d4_n.0080.,0.41, Sat  
lwb,inkresat,k_d4_n.0100.,1.33, Sat  
lwb,inkresat,k_d4_n.0120.,1.21, Sat  
lwb,inkresat,k_d4_n.0140.,3.07, Sat  
