  No;Problem;                                                                            ;;
  55;qbf/C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.3.spartacus;                      1.05; Sat  ;
  56;qbf/C30-V16-D4/p-qbf-cnf-K4-C30-V16-D4.4.spartacus;                      1.07; Sat  ;
  57;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.1.spartacus;                  0.28; Sat  ;
  58;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.2.spartacus;                  0.10; Sat  ;
  59;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.3.spartacus;                  0.56; Sat  ;
  60;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.4.spartacus;                  0.72; Sat  ;
  61;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.5.spartacus;                  0.84; Sat  ;
  62;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.6.spartacus;                  0.76; Sat  ;
  63;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.7.spartacus;                  0.25; Sat  ;
  64;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.8.spartacus;                  0.63; Sat  ;
  65;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.1.spartacus;                 60.74; Sat  ;
  66;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.2.spartacus;                 11.48; Sat  ;
  67;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.3.spartacus;                  8.98; Sat  ;
  68;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.4.spartacus;                 51.10; Sat  ;
  69;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.5.spartacus;                 66.16; Sat  ;
  70;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.6.spartacus;                 44.29; Sat  ;
  71;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.7.spartacus;                  0.33; Sat  ;
  72;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.8.spartacus;                  8.07; Sat  ;
  73;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.1.spartacus;               TIMEOUT;      ;
  74;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.2.spartacus;                137.20; Sat  ;
  75;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.3.spartacus;                 23.84; Sat  ;
  76;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.4.spartacus;               TIMEOUT;      ;
  77;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.5.spartacus;                 30.76; Sat  ;
  78;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.6.spartacus;               TIMEOUT;      ;
  79;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.7.spartacus;                307.22; Sat  ;
  80;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.8.spartacus;                228.56; Sat  ;
  81;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.1.spartacus;               TIMEOUT;      ;
  82;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.2.spartacus;               TIMEOUT;      ;
  83;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.3.spartacus;               TIMEOUT;      ;
  84;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.4.spartacus;                284.90; Sat  ;
  85;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.5.spartacus;               TIMEOUT;      ;
  86;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.6.spartacus;               TIMEOUT;      ;
  87;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.7.spartacus;               TIMEOUT;      ;
  88;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.8.spartacus;               TIMEOUT;      ;
  89;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.1.spartacus;              TIMEOUT;      ;
  90;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.2.spartacus;              TIMEOUT;      ;
  91;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.3.spartacus;              TIMEOUT;      ;
  92;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.4.spartacus;              TIMEOUT;      ;
  93;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.5.spartacus;              TIMEOUT;      ;
  94;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.6.spartacus;              TIMEOUT;      ;
  95;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.7.spartacus;              TIMEOUT;      ;
  96;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.8.spartacus;              TIMEOUT;      ;
  97;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.1.spartacus;              TIMEOUT;      ;
  98;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.2.spartacus;              TIMEOUT;      ;
  99;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.3.spartacus;              TIMEOUT;      ;
 100;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.4.spartacus;              TIMEOUT;      ;
 101;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.5.spartacus;              TIMEOUT;      ;
 102;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.6.spartacus;              TIMEOUT;      ;
 103;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.7.spartacus;              TIMEOUT;      ;
 104;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.8.spartacus;              TIMEOUT;      ;
 105;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.1.spartacus;                  1.08; Sat  ;
