  No;Problem;                                                              snf+#negative6;;
 249;qbfL/C50-V04-D4/p-qbf-cnfLadn-K4-C50-V4-D4.1;                            0.06; Unsat;
 250;qbfL/C50-V04-D4/p-qbf-cnfLadn-K4-C50-V4-D4.2;                            0.05; Unsat;
 251;qbfL/C50-V04-D4/p-qbf-cnfLadn-K4-C50-V4-D4.3;                            0.04; Unsat;
 252;qbfL/C50-V04-D4/p-qbf-cnfLadn-K4-C50-V4-D4.4;                            0.05; Unsat;
 253;qbfL/C50-V04-D4/p-qbf-cnfLadn-K4-C50-V4-D4.5;                            0.05; Unsat;
 254;qbfL/C50-V04-D4/p-qbf-cnfLadn-K4-C50-V4-D4.6;                            0.12; Unsat;
 255;qbfL/C50-V04-D4/p-qbf-cnfLadn-K4-C50-V4-D4.7;                            0.38; Sat  ;
 256;qbfL/C50-V04-D4/p-qbf-cnfLadn-K4-C50-V4-D4.8;                            0.04; Unsat;
 257;qbfL/C50-V04-D6/p-qbf-cnfLadn-K4-C50-V4-D6.1;                            0.07; Unsat;
 258;qbfL/C50-V04-D6/p-qbf-cnfLadn-K4-C50-V4-D6.2;                            0.06; Unsat;
 259;qbfL/C50-V04-D6/p-qbf-cnfLadn-K4-C50-V4-D6.3;                            0.07; Unsat;
 260;qbfL/C50-V04-D6/p-qbf-cnfLadn-K4-C50-V4-D6.4;                            0.06; Unsat;
 261;qbfL/C50-V04-D6/p-qbf-cnfLadn-K4-C50-V4-D6.5;                            0.08; Unsat;
 262;qbfL/C50-V04-D6/p-qbf-cnfLadn-K4-C50-V4-D6.6;                            0.05; Unsat;
 263;qbfL/C50-V04-D6/p-qbf-cnfLadn-K4-C50-V4-D6.7;                            0.09; Unsat;
 264;qbfL/C50-V04-D6/p-qbf-cnfLadn-K4-C50-V4-D6.8;                            0.10; Unsat;
 265;qbfL/C50-V08-D4/p-qbf-cnfLadn-K4-C50-V8-D4.1;                            0.13; Unsat;
 266;qbfL/C50-V08-D4/p-qbf-cnfLadn-K4-C50-V8-D4.2;                            0.28; Unsat;
 267;qbfL/C50-V08-D4/p-qbf-cnfLadn-K4-C50-V8-D4.3;                            0.14; Unsat;
 268;qbfL/C50-V08-D4/p-qbf-cnfLadn-K4-C50-V8-D4.4;                            0.24; Sat  ;
 269;qbfL/C50-V08-D4/p-qbf-cnfLadn-K4-C50-V8-D4.5;                            0.20; Sat  ;
 270;qbfL/C50-V08-D4/p-qbf-cnfLadn-K4-C50-V8-D4.6;                            0.28; Unsat;
 271;qbfL/C50-V08-D4/p-qbf-cnfLadn-K4-C50-V8-D4.7;                            0.19; Unsat;
 272;qbfL/C50-V08-D4/p-qbf-cnfLadn-K4-C50-V8-D4.8;                            0.17; Unsat;
 273;qbfL/C50-V08-D6/p-qbf-cnfLadn-K4-C50-V8-D6.1;                            0.38; Sat  ;
 274;qbfL/C50-V08-D6/p-qbf-cnfLadn-K4-C50-V8-D6.2;                            0.32; Sat  ;
 275;qbfL/C50-V08-D6/p-qbf-cnfLadn-K4-C50-V8-D6.3;                            0.38; Sat  ;
 276;qbfL/C50-V08-D6/p-qbf-cnfLadn-K4-C50-V8-D6.4;                            0.58; Sat  ;
 277;qbfL/C50-V08-D6/p-qbf-cnfLadn-K4-C50-V8-D6.5;                            0.31; Sat  ;
 278;qbfL/C50-V08-D6/p-qbf-cnfLadn-K4-C50-V8-D6.6;                            0.24; Unsat;
 279;qbfL/C50-V08-D6/p-qbf-cnfLadn-K4-C50-V8-D6.7;                            0.34; Sat  ;
 280;qbfL/C50-V08-D6/p-qbf-cnfLadn-K4-C50-V8-D6.8;                            0.34; Sat  ;
 281;qbfL/C50-V16-D4/p-qbf-cnfLadn-K4-C50-V16-D4.1;                           0.86; Sat  ;
 282;qbfL/C50-V16-D4/p-qbf-cnfLadn-K4-C50-V16-D4.2;                           0.95; Sat  ;
 283;qbfL/C50-V16-D4/p-qbf-cnfLadn-K4-C50-V16-D4.3;                           0.70; Sat  ;
 284;qbfL/C50-V16-D4/p-qbf-cnfLadn-K4-C50-V16-D4.4;                           0.62; Sat  ;
 285;qbfL/C50-V16-D4/p-qbf-cnfLadn-K4-C50-V16-D4.5;                           0.78; Sat  ;
 286;qbfL/C50-V16-D4/p-qbf-cnfLadn-K4-C50-V16-D4.6;                           0.76; Sat  ;
 287;qbfL/C50-V16-D4/p-qbf-cnfLadn-K4-C50-V16-D4.7;                           0.67; Sat  ;
 288;qbfL/C50-V16-D4/p-qbf-cnfLadn-K4-C50-V16-D4.8;                           0.68; Sat  ;
 289;qbfL/C50-V16-D6/p-qbf-cnfLadn-K4-C50-V16-D6.1;                           1.94; Sat  ;
 290;qbfL/C50-V16-D6/p-qbf-cnfLadn-K4-C50-V16-D6.2;                           1.97; Sat  ;
 291;qbfL/C50-V16-D6/p-qbf-cnfLadn-K4-C50-V16-D6.3;                           1.58; Sat  ;
 292;qbfL/C50-V16-D6/p-qbf-cnfLadn-K4-C50-V16-D6.4;                           1.95; Sat  ;
 293;qbfL/C50-V16-D6/p-qbf-cnfLadn-K4-C50-V16-D6.5;                           2.11; Sat  ;
 294;qbfL/C50-V16-D6/p-qbf-cnfLadn-K4-C50-V16-D6.6;                           1.94; Sat  ;
 295;qbfL/C50-V16-D6/p-qbf-cnfLadn-K4-C50-V16-D6.7;                           2.03; Sat  ;
 296;qbfL/C50-V16-D6/p-qbf-cnfLadn-K4-C50-V16-D6.8;                           2.20; Sat  ;
 297;qbfML/C10-V4-D4/p-qbf-modKLadn-K4-C10-V4-D4.1;                           0.44; Unsat;
 298;qbfML/C10-V4-D4/p-qbf-modKLadn-K4-C10-V4-D4.2;                           0.42; Unsat;
 299;qbfML/C10-V4-D4/p-qbf-modKLadn-K4-C10-V4-D4.3;                           0.48; Unsat;
 300;qbfML/C10-V4-D4/p-qbf-modKLadn-K4-C10-V4-D4.4;                           0.44; Unsat;
 301;qbfML/C10-V4-D4/p-qbf-modKLadn-K4-C10-V4-D4.5;                           0.38; Unsat;
 302;qbfML/C10-V4-D4/p-qbf-modKLadn-K4-C10-V4-D4.6;                           0.23; Unsat;
 303;qbfML/C10-V4-D4/p-qbf-modKLadn-K4-C10-V4-D4.7;                           0.45; Unsat;
 304;qbfML/C10-V4-D4/p-qbf-modKLadn-K4-C10-V4-D4.8;                           0.46; Unsat;
 305;qbfML/C10-V4-D6/p-qbf-modKLadn-K4-C10-V4-D6.1;                           1.07; Unsat;
 306;qbfML/C10-V4-D6/p-qbf-modKLadn-K4-C10-V4-D6.2;                           0.75; Unsat;
 307;qbfML/C10-V4-D6/p-qbf-modKLadn-K4-C10-V4-D6.3;                           1.13; Unsat;
 308;qbfML/C10-V4-D6/p-qbf-modKLadn-K4-C10-V4-D6.4;                           0.49; Unsat;
 309;qbfML/C10-V4-D6/p-qbf-modKLadn-K4-C10-V4-D6.5;                           0.44; Unsat;
 310;qbfML/C10-V4-D6/p-qbf-modKLadn-K4-C10-V4-D6.6;                           1.06; Unsat;
 311;qbfML/C10-V4-D6/p-qbf-modKLadn-K4-C10-V4-D6.7;                           0.67; Unsat;
 312;qbfML/C10-V4-D6/p-qbf-modKLadn-K4-C10-V4-D6.8;                           0.89; Unsat;
 313;qbfML/C10-V8-D4/p-qbf-modKLadn-K4-C10-V8-D4.1;                           4.52; Unsat;
 314;qbfML/C10-V8-D4/p-qbf-modKLadn-K4-C10-V8-D4.2;                           3.12; Unsat;
 315;qbfML/C10-V8-D4/p-qbf-modKLadn-K4-C10-V8-D4.3;                           5.32; Unsat;
 316;qbfML/C10-V8-D4/p-qbf-modKLadn-K4-C10-V8-D4.4;                           3.65; Unsat;
 317;qbfML/C10-V8-D4/p-qbf-modKLadn-K4-C10-V8-D4.5;                           7.15; Unsat;
 318;qbfML/C10-V8-D4/p-qbf-modKLadn-K4-C10-V8-D4.6;                           8.21; Unsat;
 319;qbfML/C10-V8-D4/p-qbf-modKLadn-K4-C10-V8-D4.7;                           4.47; Unsat;
 320;qbfML/C10-V8-D4/p-qbf-modKLadn-K4-C10-V8-D4.8;                           3.31; Unsat;
 321;qbfML/C10-V8-D6/p-qbf-modKLadn-K4-C10-V8-D6.1;                          10.71; Unsat;
 322;qbfML/C10-V8-D6/p-qbf-modKLadn-K4-C10-V8-D6.2;                           2.55; Unsat;
 323;qbfML/C10-V8-D6/p-qbf-modKLadn-K4-C10-V8-D6.3;                           0.93; Unsat;
 324;qbfML/C10-V8-D6/p-qbf-modKLadn-K4-C10-V8-D6.4;                           4.39; Unsat;
 325;qbfML/C10-V8-D6/p-qbf-modKLadn-K4-C10-V8-D6.5;                           1.12; Unsat;
 326;qbfML/C10-V8-D6/p-qbf-modKLadn-K4-C10-V8-D6.6;                          14.63; Unsat;
 327;qbfML/C10-V8-D6/p-qbf-modKLadn-K4-C10-V8-D6.7;                           6.95; Unsat;
 328;qbfML/C10-V8-D6/p-qbf-modKLadn-K4-C10-V8-D6.8;                           0.53; Unsat;
 329;qbfML/C20-V4-D4/p-qbf-modKLadn-K4-C20-V4-D4.1;                           0.71; Unsat;
 330;qbfML/C20-V4-D4/p-qbf-modKLadn-K4-C20-V4-D4.2;                           0.60; Unsat;
 331;qbfML/C20-V4-D4/p-qbf-modKLadn-K4-C20-V4-D4.3;                           0.91; Unsat;
 332;qbfML/C20-V4-D4/p-qbf-modKLadn-K4-C20-V4-D4.4;                           1.06; Unsat;
 333;qbfML/C20-V4-D4/p-qbf-modKLadn-K4-C20-V4-D4.5;                           0.67; Unsat;
 334;qbfML/C20-V4-D4/p-qbf-modKLadn-K4-C20-V4-D4.6;                           0.86; Unsat;
 335;qbfML/C20-V4-D4/p-qbf-modKLadn-K4-C20-V4-D4.7;                           1.34; Unsat;
 336;qbfML/C20-V4-D4/p-qbf-modKLadn-K4-C20-V4-D4.8;                           0.76; Unsat;
 337;qbfML/C20-V4-D6/p-qbf-modKLadn-K4-C20-V4-D6.1;                           3.98; Unsat;
 338;qbfML/C20-V4-D6/p-qbf-modKLadn-K4-C20-V4-D6.2;                           2.30; Unsat;
 339;qbfML/C20-V4-D6/p-qbf-modKLadn-K4-C20-V4-D6.3;                           2.96; Unsat;
 340;qbfML/C20-V4-D6/p-qbf-modKLadn-K4-C20-V4-D6.4;                           4.00; Unsat;
 341;qbfML/C20-V4-D6/p-qbf-modKLadn-K4-C20-V4-D6.5;                           2.70; Unsat;
 342;qbfML/C20-V4-D6/p-qbf-modKLadn-K4-C20-V4-D6.6;                           3.52; Unsat;
 343;qbfML/C20-V4-D6/p-qbf-modKLadn-K4-C20-V4-D6.7;                           4.44; Unsat;
 344;qbfML/C20-V4-D6/p-qbf-modKLadn-K4-C20-V4-D6.8;                           3.34; Unsat;
 345;qbfML/C20-V8-D4/p-qbf-modKLadn-K4-C20-V8-D4.1;                          16.88; Unsat;
 346;qbfML/C20-V8-D4/p-qbf-modKLadn-K4-C20-V8-D4.2;                          14.25; Unsat;
 347;qbfML/C20-V8-D4/p-qbf-modKLadn-K4-C20-V8-D4.3;                          19.93; Unsat;
 348;qbfML/C20-V8-D4/p-qbf-modKLadn-K4-C20-V8-D4.4;                          12.35; Unsat;
 349;qbfML/C20-V8-D4/p-qbf-modKLadn-K4-C20-V8-D4.5;                          11.96; Unsat;
 350;qbfML/C20-V8-D4/p-qbf-modKLadn-K4-C20-V8-D4.6;                           7.95; Unsat;
 351;qbfML/C20-V8-D4/p-qbf-modKLadn-K4-C20-V8-D4.7;                           9.71; Unsat;
 352;qbfML/C20-V8-D4/p-qbf-modKLadn-K4-C20-V8-D4.8;                          10.04; Unsat;
 353;qbfML/C20-V8-D6/p-qbf-modKLadn-K4-C20-V8-D6.1;                          16.84; Unsat;
 354;qbfML/C20-V8-D6/p-qbf-modKLadn-K4-C20-V8-D6.2;                          21.98; Unsat;
 355;qbfML/C20-V8-D6/p-qbf-modKLadn-K4-C20-V8-D6.3;                           7.63; Unsat;
 356;qbfML/C20-V8-D6/p-qbf-modKLadn-K4-C20-V8-D6.4;                           8.46; Unsat;
 357;qbfML/C20-V8-D6/p-qbf-modKLadn-K4-C20-V8-D6.5;                          15.99; Unsat;
 358;qbfML/C20-V8-D6/p-qbf-modKLadn-K4-C20-V8-D6.6;                          14.47; Unsat;
 359;qbfML/C20-V8-D6/p-qbf-modKLadn-K4-C20-V8-D6.7;                           9.10; Unsat;
 360;qbfML/C20-V8-D6/p-qbf-modKLadn-K4-C20-V8-D6.8;                          19.32; Unsat;
 361;qbfML/C30-V4-D4/p-qbf-modKLadn-K4-C30-V4-D4.1;                           1.24; Unsat;
 362;qbfML/C30-V4-D4/p-qbf-modKLadn-K4-C30-V4-D4.2;                           1.36; Unsat;
 363;qbfML/C30-V4-D4/p-qbf-modKLadn-K4-C30-V4-D4.3;                           1.32; Unsat;
 364;qbfML/C30-V4-D4/p-qbf-modKLadn-K4-C30-V4-D4.4;                           1.03; Unsat;
 365;qbfML/C30-V4-D4/p-qbf-modKLadn-K4-C30-V4-D4.5;                           1.47; Unsat;
 366;qbfML/C30-V4-D4/p-qbf-modKLadn-K4-C30-V4-D4.6;                           1.70; Unsat;
 367;qbfML/C30-V4-D4/p-qbf-modKLadn-K4-C30-V4-D4.7;                           1.86; Unsat;
 368;qbfML/C30-V4-D4/p-qbf-modKLadn-K4-C30-V4-D4.8;                           1.25; Unsat;
 369;qbfML/C30-V4-D6/p-qbf-modKLadn-K4-C30-V4-D6.1;                           4.30; Unsat;
 370;qbfML/C30-V4-D6/p-qbf-modKLadn-K4-C30-V4-D6.2;                           3.80; Unsat;
 371;qbfML/C30-V4-D6/p-qbf-modKLadn-K4-C30-V4-D6.3;                           3.82; Unsat;
 372;qbfML/C30-V4-D6/p-qbf-modKLadn-K4-C30-V4-D6.4;                           5.01; Unsat;
 373;qbfML/C30-V4-D6/p-qbf-modKLadn-K4-C30-V4-D6.5;                           5.18; Unsat;
 374;qbfML/C30-V4-D6/p-qbf-modKLadn-K4-C30-V4-D6.6;                           6.53; Unsat;
 375;qbfML/C30-V4-D6/p-qbf-modKLadn-K4-C30-V4-D6.7;                           5.34; Unsat;
 376;qbfML/C30-V4-D6/p-qbf-modKLadn-K4-C30-V4-D6.8;                           4.91; Unsat;
 377;qbfML/C30-V8-D4/p-qbf-modKLadn-K4-C30-V8-D4.1;                          17.62; Unsat;
 378;qbfML/C30-V8-D4/p-qbf-modKLadn-K4-C30-V8-D4.2;                          22.86; Unsat;
 379;qbfML/C30-V8-D4/p-qbf-modKLadn-K4-C30-V8-D4.3;                          27.74; Unsat;
 380;qbfML/C30-V8-D4/p-qbf-modKLadn-K4-C30-V8-D4.4;                          25.80; Unsat;
 381;qbfML/C30-V8-D4/p-qbf-modKLadn-K4-C30-V8-D4.5;                          13.58; Unsat;
 382;qbfML/C30-V8-D4/p-qbf-modKLadn-K4-C30-V8-D4.6;                          25.66; Unsat;
 383;qbfML/C30-V8-D4/p-qbf-modKLadn-K4-C30-V8-D4.7;                          26.76; Unsat;
 384;qbfML/C30-V8-D4/p-qbf-modKLadn-K4-C30-V8-D4.8;                          33.39; Unsat;
 385;qbfML/C30-V8-D6/p-qbf-modKLadn-K4-C30-V8-D6.1;                          68.19; Unsat;
 386;qbfML/C30-V8-D6/p-qbf-modKLadn-K4-C30-V8-D6.2;                          32.68; Unsat;
 387;qbfML/C30-V8-D6/p-qbf-modKLadn-K4-C30-V8-D6.3;                          54.73; Unsat;
 388;qbfML/C30-V8-D6/p-qbf-modKLadn-K4-C30-V8-D6.4;                          31.88; Unsat;
 389;qbfML/C30-V8-D6/p-qbf-modKLadn-K4-C30-V8-D6.5;                          68.94; Unsat;
 390;qbfML/C30-V8-D6/p-qbf-modKLadn-K4-C30-V8-D6.6;                          35.88; Unsat;
 391;qbfML/C30-V8-D6/p-qbf-modKLadn-K4-C30-V8-D6.7;                          55.84; Unsat;
 392;qbfML/C30-V8-D6/p-qbf-modKLadn-K4-C30-V8-D6.8;                          20.11; Unsat;
 393;qbfML/C40-V4-D4/p-qbf-modKLadn-K4-C40-V4-D4.1;                           2.03; Unsat;
 394;qbfML/C40-V4-D4/p-qbf-modKLadn-K4-C40-V4-D4.2;                           1.31; Unsat;
 395;qbfML/C40-V4-D4/p-qbf-modKLadn-K4-C40-V4-D4.3;                           2.02; Unsat;
 396;qbfML/C40-V4-D4/p-qbf-modKLadn-K4-C40-V4-D4.4;                           1.34; Unsat;
 397;qbfML/C40-V4-D4/p-qbf-modKLadn-K4-C40-V4-D4.5;                           1.47; Unsat;
 398;qbfML/C40-V4-D4/p-qbf-modKLadn-K4-C40-V4-D4.6;                           1.72; Unsat;
 399;qbfML/C40-V4-D4/p-qbf-modKLadn-K4-C40-V4-D4.7;                           2.10; Unsat;
 400;qbfML/C40-V4-D4/p-qbf-modKLadn-K4-C40-V4-D4.8;                           1.65; Unsat;
 401;qbfML/C40-V4-D6/p-qbf-modKLadn-K4-C40-V4-D6.1;                           4.37; Unsat;
 402;qbfML/C40-V4-D6/p-qbf-modKLadn-K4-C40-V4-D6.2;                           5.12; Unsat;
 403;qbfML/C40-V4-D6/p-qbf-modKLadn-K4-C40-V4-D6.3;                           6.18; Unsat;
 404;qbfML/C40-V4-D6/p-qbf-modKLadn-K4-C40-V4-D6.4;                           5.80; Unsat;
 405;qbfML/C40-V4-D6/p-qbf-modKLadn-K4-C40-V4-D6.5;                           5.93; Unsat;
 406;qbfML/C40-V4-D6/p-qbf-modKLadn-K4-C40-V4-D6.6;                           5.97; Unsat;
 407;qbfML/C40-V4-D6/p-qbf-modKLadn-K4-C40-V4-D6.7;                           6.14; Unsat;
 408;qbfML/C40-V4-D6/p-qbf-modKLadn-K4-C40-V4-D6.8;                           5.74; Unsat;
 409;qbfML/C40-V8-D4/p-qbf-modKLadn-K4-C40-V8-D4.1;                          31.40; Unsat;
 410;qbfML/C40-V8-D4/p-qbf-modKLadn-K4-C40-V8-D4.2;                          32.92; Unsat;
 411;qbfML/C40-V8-D4/p-qbf-modKLadn-K4-C40-V8-D4.3;                          32.10; Unsat;
 412;qbfML/C40-V8-D4/p-qbf-modKLadn-K4-C40-V8-D4.4;                          33.31; Unsat;
 413;qbfML/C40-V8-D4/p-qbf-modKLadn-K4-C40-V8-D4.5;                          22.50; Unsat;
 414;qbfML/C40-V8-D4/p-qbf-modKLadn-K4-C40-V8-D4.6;                          32.10; Unsat;
 415;qbfML/C40-V8-D4/p-qbf-modKLadn-K4-C40-V8-D4.7;                          36.29; Unsat;
 416;qbfML/C40-V8-D4/p-qbf-modKLadn-K4-C40-V8-D4.8;                          24.10; Unsat;
 417;qbfML/C40-V8-D6/p-qbf-modKLadn-K4-C40-V8-D6.1;                         108.55; Unsat;
 418;qbfML/C40-V8-D6/p-qbf-modKLadn-K4-C40-V8-D6.2;                          62.96; Unsat;
 419;qbfML/C40-V8-D6/p-qbf-modKLadn-K4-C40-V8-D6.3;                          88.17; Unsat;
 420;qbfML/C40-V8-D6/p-qbf-modKLadn-K4-C40-V8-D6.4;                         125.97; Unsat;
 421;qbfML/C40-V8-D6/p-qbf-modKLadn-K4-C40-V8-D6.5;                          95.94; Unsat;
 422;qbfML/C40-V8-D6/p-qbf-modKLadn-K4-C40-V8-D6.6;                         121.20; Unsat;
 423;qbfML/C40-V8-D6/p-qbf-modKLadn-K4-C40-V8-D6.7;                         105.55; Unsat;
 424;qbfML/C40-V8-D6/p-qbf-modKLadn-K4-C40-V8-D6.8;                          54.58; Unsat;
 425;qbfML/C50-V4-D4/p-qbf-modKLadn-K4-C50-V4-D4.1;                           1.17; Unsat;
 426;qbfML/C50-V4-D4/p-qbf-modKLadn-K4-C50-V4-D4.2;                           1.61; Unsat;
 427;qbfML/C50-V4-D4/p-qbf-modKLadn-K4-C50-V4-D4.3;                           1.31; Unsat;
 428;qbfML/C50-V4-D4/p-qbf-modKLadn-K4-C50-V4-D4.4;                           1.64; Unsat;
 429;qbfML/C50-V4-D4/p-qbf-modKLadn-K4-C50-V4-D4.5;                           1.39; Unsat;
 430;qbfML/C50-V4-D4/p-qbf-modKLadn-K4-C50-V4-D4.6;                           1.71; Unsat;
 431;qbfML/C50-V4-D4/p-qbf-modKLadn-K4-C50-V4-D4.7;                           1.26; Unsat;
 432;qbfML/C50-V4-D4/p-qbf-modKLadn-K4-C50-V4-D4.8;                           1.28; Unsat;
 433;qbfML/C50-V4-D6/p-qbf-modKLadn-K4-C50-V4-D6.1;                           8.38; Unsat;
 434;qbfML/C50-V4-D6/p-qbf-modKLadn-K4-C50-V4-D6.2;                           7.35; Unsat;
 435;qbfML/C50-V4-D6/p-qbf-modKLadn-K4-C50-V4-D6.3;                           7.27; Unsat;
 436;qbfML/C50-V4-D6/p-qbf-modKLadn-K4-C50-V4-D6.4;                           6.44; Unsat;
 437;qbfML/C50-V4-D6/p-qbf-modKLadn-K4-C50-V4-D6.5;                           6.40; Unsat;
 438;qbfML/C50-V4-D6/p-qbf-modKLadn-K4-C50-V4-D6.6;                           7.65; Unsat;
 439;qbfML/C50-V4-D6/p-qbf-modKLadn-K4-C50-V4-D6.7;                           6.61; Unsat;
 440;qbfML/C50-V4-D6/p-qbf-modKLadn-K4-C50-V4-D6.8;                           5.93; Unsat;
 441;qbfML/C50-V8-D4/p-qbf-modKLadn-K4-C50-V8-D4.1;                          31.42; Unsat;
 442;qbfML/C50-V8-D4/p-qbf-modKLadn-K4-C50-V8-D4.2;                          42.22; Unsat;
 443;qbfML/C50-V8-D4/p-qbf-modKLadn-K4-C50-V8-D4.3;                          27.71; Unsat;
 444;qbfML/C50-V8-D4/p-qbf-modKLadn-K4-C50-V8-D4.4;                          34.85; Unsat;
 445;qbfML/C50-V8-D4/p-qbf-modKLadn-K4-C50-V8-D4.5;                          31.73; Unsat;
 446;qbfML/C50-V8-D4/p-qbf-modKLadn-K4-C50-V8-D4.6;                          37.47; Unsat;
 447;qbfML/C50-V8-D4/p-qbf-modKLadn-K4-C50-V8-D4.7;                          37.14; Unsat;
 448;qbfML/C50-V8-D4/p-qbf-modKLadn-K4-C50-V8-D4.8;                          36.19; Unsat;
 449;qbfML/C50-V8-D6/p-qbf-modKLadn-K4-C50-V8-D6.1;                         146.02; Unsat;
 450;qbfML/C50-V8-D6/p-qbf-modKLadn-K4-C50-V8-D6.2;                         125.01; Unsat;
 451;qbfML/C50-V8-D6/p-qbf-modKLadn-K4-C50-V8-D6.3;                         106.07; Unsat;
 452;qbfML/C50-V8-D6/p-qbf-modKLadn-K4-C50-V8-D6.4;                          84.03; Unsat;
 453;qbfML/C50-V8-D6/p-qbf-modKLadn-K4-C50-V8-D6.5;                         124.01; Unsat;
 454;qbfML/C50-V8-D6/p-qbf-modKLadn-K4-C50-V8-D6.6;                          74.46; Unsat;
 455;qbfML/C50-V8-D6/p-qbf-modKLadn-K4-C50-V8-D6.7;                         107.52; Unsat;
 456;qbfML/C50-V8-D6/p-qbf-modKLadn-K4-C50-V8-D6.8;                         125.29; Unsat;
 457;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D4.1;                         5.16; Unsat;
 458;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D4.2;                         4.16; Unsat;
 459;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D4.3;                         7.64; Unsat;
 460;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D4.4;                        10.76; Unsat;
 461;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D4.5;                        15.25; Unsat;
 462;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D4.6;                        69.35; Unsat;
 463;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D4.7;                        73.81; Unsat;
 464;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D4.8;                        17.22; Unsat;
 465;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D6.1;                        45.30; Unsat;
 466;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D6.2;                         8.37; Unsat;
 467;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D6.3;                        39.31; Unsat;
 468;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D6.4;                         9.40; Unsat;
 469;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D6.5;                         1.80; Unsat;
 470;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D6.6;                        37.73; Unsat;
 471;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D6.7;                         7.18; Unsat;
 472;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C10-V16-D6.8;                         5.68; Unsat;
 473;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D4.1;                        33.84; Unsat;
 474;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D4.2;                        44.97; Unsat;
 475;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D4.3;                       207.20; Unsat;
 476;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D4.4;                        25.61; Unsat;
 477;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D4.5;                        42.44; Unsat;
 478;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D4.6;                        15.76; Unsat;
 479;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D4.7;                        12.74; Unsat;
 480;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D4.8;                        73.68; Unsat;
 481;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D6.1;                        36.81; Unsat;
 482;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D6.2;                        14.05; Unsat;
 483;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D6.3;                        21.15; Unsat;
 484;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D6.4;                        47.35; Unsat;
 485;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D6.5;                        51.58; Unsat;
 486;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D6.6;                        60.84; Unsat;
 487;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D6.7;                       110.32; Unsat;
 488;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C20-V16-D6.8;                        61.15; Unsat;
 489;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D4.1;                       197.63; Unsat;
 490;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D4.2;                       306.80; Unsat;
 491;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D4.3;                       116.97; Unsat;
 492;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D4.4;                       544.34; Unsat;
 493;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D4.5;                        83.33; Unsat;
 494;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D4.6;                       118.19; Unsat;
 495;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D4.7;                       270.70; Unsat;
 496;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D4.8;                       285.97; Unsat;
 497;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D6.1;                       133.24; Unsat;
 498;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D6.2;                        94.10; Unsat;
 499;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D6.3;                       176.28; Unsat;
 500;qbfML/CXX-V16-DX/p-qbf-modKLadn-K4-C30-V16-D6.4;                       333.71; Unsat;
