  No;Problem;                                                              snf+#negative6;;
  60;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.4;                            0.01; Sat  ;
  61;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.5;                            0.01; Sat  ;
  62;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.6;                            0.01; Sat  ;
  63;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.7;                            0.01; Sat  ;
  64;qbfL/C10-V04-D4/p-qbf-cnfLadn-K4-C10-V4-D4.8;                            0.01; Sat  ;
  65;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.1;                            0.02; Sat  ;
  66;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.2;                            0.01; Sat  ;
  67;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.3;                            0.01; Sat  ;
  68;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.4;                            0.02; Sat  ;
  69;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.5;                            0.02; Sat  ;
  70;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.6;                            0.02; Sat  ;
  71;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.7;                            0.02; Sat  ;
  72;qbfL/C10-V04-D6/p-qbf-cnfLadn-K4-C10-V4-D6.8;                            0.02; Sat  ;
  73;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.1;                            0.03; Sat  ;
  74;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.2;                            0.03; Sat  ;
  75;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.3;                            0.03; Sat  ;
  76;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.4;                            0.04; Sat  ;
  77;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.5;                            0.03; Sat  ;
  78;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.6;                            0.03; Sat  ;
  79;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.7;                            0.03; Sat  ;
  80;qbfL/C10-V08-D4/p-qbf-cnfLadn-K4-C10-V8-D4.8;                            0.03; Sat  ;
  81;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.1;                            0.06; Sat  ;
  82;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.2;                            0.06; Sat  ;
  83;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.3;                            0.06; Sat  ;
  84;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.4;                            0.05; Sat  ;
  85;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.5;                            0.05; Sat  ;
  86;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.6;                            0.06; Sat  ;
  87;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.7;                            0.05; Sat  ;
  88;qbfL/C10-V08-D6/p-qbf-cnfLadn-K4-C10-V8-D6.8;                            0.04; Sat  ;
  89;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.1;                           0.08; Sat  ;
  90;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.2;                           0.10; Sat  ;
  91;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.3;                           0.10; Sat  ;
  92;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.4;                           0.09; Sat  ;
  93;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.5;                           0.08; Sat  ;
  94;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.6;                           0.11; Sat  ;
  95;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.7;                           0.11; Sat  ;
  96;qbfL/C10-V16-D4/p-qbf-cnfLadn-K4-C10-V16-D4.8;                           0.09; Sat  ;
  97;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.1;                           0.16; Sat  ;
  98;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.2;                           0.17; Sat  ;
  99;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.3;                           0.12; Sat  ;
 100;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.4;                           0.16; Sat  ;
 101;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.5;                           0.14; Sat  ;
 102;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.6;                           0.15; Sat  ;
 103;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.7;                           0.16; Sat  ;
 104;qbfL/C10-V16-D6/p-qbf-cnfLadn-K4-C10-V16-D6.8;                           0.18; Sat  ;
 105;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.1;                            0.02; Sat  ;
 106;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.2;                            0.04; Sat  ;
 107;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.3;                            0.03; Sat  ;
 108;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.4;                            0.03; Sat  ;
 109;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.5;                            0.03; Sat  ;
 110;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.6;                            0.03; Sat  ;
 111;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.7;                            0.04; Sat  ;
 112;qbfL/C20-V04-D4/p-qbf-cnfLadn-K4-C20-V4-D4.8;                            0.04; Sat  ;
 113;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.1;                            0.11; Sat  ;
 114;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.2;                            0.04; Sat  ;
 115;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.3;                            0.05; Sat  ;
 116;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.4;                            0.04; Sat  ;
 117;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.5;                            0.04; Sat  ;
 118;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.6;                            0.06; Sat  ;
 119;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.7;                            0.06; Sat  ;
 120;qbfL/C20-V04-D6/p-qbf-cnfLadn-K4-C20-V4-D6.8;                            0.07; Sat  ;
 121;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.1;                            0.06; Sat  ;
 122;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.2;                            0.07; Sat  ;
 123;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.3;                            0.07; Sat  ;
 124;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.4;                            0.11; Sat  ;
 125;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.5;                            0.07; Sat  ;
 126;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.6;                            0.07; Sat  ;
 127;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.7;                            0.07; Sat  ;
 128;qbfL/C20-V08-D4/p-qbf-cnfLadn-K4-C20-V8-D4.8;                            0.08; Sat  ;
 129;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.1;                            0.13; Sat  ;
 130;qbfL/C20-V08-D6/p-qbf-cnfLadn-K4-C20-V8-D6.2;                            0.12; Sat  ;
